Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sampler End Date	Arrival date	Simplified_date	Sample_Group	Legacy_samples	Ct_N1	Mean	Breadth	Read_count	Bad_quality	Comments	Mean_galaxy	Breadth_galaxy	Read_count_galaxy
B54	6X	Washington	Walla Walla	WallaWalla	WWTP	2021-08-30	2021-08-31	2021-09-01	21-08	Batch3		31.944	3851.32	99.6154	910120			3404.36	97.7126	803791
BD10	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-01-01	2022-01-02	2022-01-03		Batch7		30.226						20823.1	97.6892	4921692
B270	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2022-01-31	2022-02-01	2022-02-02		Batch7		27.424						8131.02	97.6491	1940855
B186	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-11-22	2021-11-22	2021-11-24		Batch5		29.711	8320.13	99.6288	1983316			7519.45	97.6089	1778370
B3	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-07-19	2021-07-20	2021-07-21	21-07	Batch1		31.237	24247.7	99.5452	5804297			23237.8	97.5922	5525995
B279	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-01-31	2022-02-01	2022-02-02		Batch7		27.952						3371.02	97.5855	832248
B7	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-07-19	2021-07-20	2021-07-21	21-07	Batch1		31.506	14444.9	99.5419	3421433			13269.2	97.5721	3117246
B16	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-08-02	2021-08-03	2021-08-04	21-08	Batch2		28.513	3150.22	99.6455	754710			2891.23	97.5655	695555
2492	14X	Arizona	Tempe	TP05	TP05	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		33.401	6801.95	99.699	1603794			6161.52	97.5019	1463616
B60	27X	Kentucky	Louisville	Lousville	Site 1690/MH09837 Ashby Lane & Mill Creek	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		28.299	4583.35	99.6121	1094343			4091.96	97.4718	974652
BD12	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-01-01	2022-01-02	2022-01-03		Batch7		28.991						5649.82	97.4584	1332623
3349	24X	Arizona	Tempe	TP07	Downtown/TP07	2022-01-31	2022-02-01	2022-02-01		Batch7		28.741						2874.34	97.4484	687850
2491	13X	Arizona	Tempe	TP04	TP04	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		34.934	3383.28	99.5987	796754			3095.23	97.4417	740006
2499	19X	Arizona	Mesa	ME01	ME01	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		32.144	10336.6	99.6288	2428845			9383.48	97.4317	2356668
3347	16X	Arizona	Tempe	College	College	2022-01-31	2022-02-01	2022-02-01		Batch7		31.614						4469.92	97.4317	1070602
B273	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-01-31	2022-02-01	2022-02-02		Batch7		26.957						5297.01	97.415	1305549
B180	5X	Washington	DesMoines	Redondo	Redondo WWTP	2021-11-22	2021-11-23	2021-11-24		Batch5		31.934	2456.85	99.6121	583088			2294.61	97.3949	546485
B74	3X	Oregon	Dallas	Dallas	Rickreall 1070 Bowersville Road 97371	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		29.334	7264.61	99.7024	1788613			6443.63	97.3815	1578583
B267	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2022-01-25	2022-01-26	2022-01-27		Batch7		29.256						6132.34	97.3815	1482029
3573	11X	Arizona	Tempe	TP02	TP02	2022-03-14	2021-03-15	2021-03-15		Batch8		31.609						1328.42	97.3414	321530
G399	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-11-17	2021-11-18	2021-11-18		Batch5		28.605	8043.08	99.6923	1918722			7042.34	97.3381	1678347
B14	5X	Washington	DesMoines	Redondo	RedondoWWTP	2021-08-02	2021-08-03	2021-08-04	21-08	Batch2		31.105	282.949	99.0703	67811			265.685	97.3314	64693
2924	19X	Arizona	Mesa	ME01	ME01	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		29.403	5181.1	99.6121	1245828			4714.28	97.3213	1132893
B301	34X	Washington	Sequim	Sequim	Sunland Water District	2022-02-28	2022-03-01	2022-03-01		Batch8		32.979						1664.54	97.3213	398697
B264	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-01-17	2022-01-18	2022-01-19		Batch7		28.227						6319.5	97.221	1476486
B154	31X	Kentucky	Louisville	Louisville	Site 1894	2021-11-08	2021-11-09	2021-11-10	21-11	Batch3		31.127	1331.91	99.5987	316007			1218.27	97.2177	294048
3341	10X	Arizona	Tempe	TP01	TP01	2022-01-31	2022-02-01	2022-02-01		Batch7		28.564						4521.26	97.2177	1069899
G409	22X	Arizona	Gilbert	Gilbert Greenfiled	Greenfield MS	2022-01-25	2022-01-26	2022-01-26		Batch7		27.858						3906.4	97.2076	937251
2366	11X	Arizona	Tempe	TP02	TP02	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		30.19	1663.5	99.5118	394166			1520.18	97.2009	367372
B236	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSA Adams St. Hoboken	2022-01-04	2022-01-05	2022-01-06		Batch6		26.794						3379.24	97.1675	820808
2715	14X	Arizona	Tempe	TP05	TP05	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		29.814	2127.37	99.3312	517639			2090.99	97.1474	533525
B6	6X	Washington	WallaWalla	WallaWalla	WWTP	2021-07-19	2021-07-20	2021-07-21	21-07	Batch1		30.792	21870.4	99.7224	5197622			19994.9	97.0271	4752410
B35	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-08-16	2021-08-17	2021-08-18	21-08	Batch2		31.32	1451.54	99.5987	344962			1361.66	96.9869	325392
2990	11X	Arizona	Tempe	TP02	TP02	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		30.291	2283.3	99.1941	563992			1931.58	96.9301	556187
3199	16X	Arizona	Tempe	College	College	2022-01-03	2022-01-04	2022-01-04		Batch6		30.542						11155.2	96.9267	2611767
B11	6X	Washington	WallaWalla	WallaWalla	WWTP	2021-08-02	2021-08-03	2021-08-04	21-08	Batch2		29.932	718.538	99.5084	170470			646.577	96.9234	154535
2489	11X	Arizona	Tempe	TP02	TP02	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		29.555	7880.52	99.6288	1854007			6895.11	96.9	1621232
2995	16X	Arizona	Tempe	College	College	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		31.208	3104.18	99.5987	736667			2874.18	96.8732	682812
2495	33X	Arizona	Tempe	TP06	Spence/TP06	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		30.459	14789.5	99.6455	3524272			13399.7	96.8364	3217035
2719	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		28.69	2906.49	99.6121	705563			2688.24	96.7896	662266
G408	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2022-01-25	2022-01-26	2022-01-26		Batch7		29.244						5344.28	96.7528	1277445
B39	9X	Arizona	Scottsdale	Scottsdale	CityofScottsdaleWaterCampus	2021-08-17	2021-08-18	2021-08-19	21-08	Batch2		32.072	3579.84	99.6188	857043			3216.75	96.716	808929
3275	19X	Arizona	Mesa	ME01	ME01	2022-01-17	2022-01-18	2022-01-18		Batch7		25.686						3010.76	96.7127	719292
3648	13X	Arizona	Tempe	TP04	TP04	2022-03-28	2022-03-29	2022-03-29		Batch8		33.203						644.995	96.706	156127
B63	30X	Kentucky	Louisville	Louisville	Site 1693/MH57769 Pineland Drive & Oakmont Dr.	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		30.357	3058.08	99.6121	730019			2681.78	96.6826	640807
2500	20X	Arizona	Mesa	ME02	ME02	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		32.181	6846.67	99.6188	1615961			6221.82	96.6191	1494401
