Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sampler End Date	Arrival date	Simplified_date	Sample_Group	Legacy_samples	Ct_N1	Mean	Breadth	Read_count	Bad_quality	Comments	Mean_galaxy	Breadth_galaxy	Read_count_galaxy
B308	2X	Washington	Des Moines	DesMoines	Midway Sewer District	2022-02-28	2022-03-01	2022-03-02		Batch8		34.774						2664.03	94.6694	631329
2712	11X	Arizona	Tempe	TP02	TP02	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		29.501	759.89	99.3211	180664			637.232	94.6193	153989
B136	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		32.026	557.878	98.7861	131824			510.765	94.6059	125255
B58	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSAAdamsSt.Hoboken	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		31.381	1050.87	98.8864	250714			957.999	94.549	232502
2997	24X	Arizona	Tempe	TP07	Downtown/TP07	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		30.928	5016.15	99.6923	1193383			4352.75	94.5056	1048539
2369	14X	Arizona	Tempe	TP05	TP05	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		33.91	1087.08	96.0372	257182			1040.69	94.4721	253526
B67	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		31.206	2024.22	99.4114	486448			1777.72	94.4487	428543
B103	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-10-04	2021-10-05	2021-10-06	21-09	Batch4		31.42	1301.05	98.3848	310426			1126.81	94.4487	279001
B43	29X	Kentucky	Louisville	Lousville	Site 1596/MH57350 Preston & South Park	2021-08-22	2021-08-23	2021-08-24	21-08	Batch3		31.897	835.054	98.5319	197175			744.807	94.3584	177025
B237	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2022-01-03	2022-01-04	2022-01-05		Batch6		27.403						2949.86	94.3584	712816
B24	29X	Kentucky	Louisville	Lousville	Site 1596/MH57350 Preston & South Park	2021-08-08	2021-08-09	2021-08-11	21-08	Batch2		29.826	180.14	98.7225	42994			159.687	94.3551	38516
B107	28X	Kentucky	Louisville	Lousville	Site 1819	2021-10-10	2021-10-11	2021-10-12	21-10	Batch4		31.254	1112.39	99.057	267663			967.309	94.3183	239235
2778	19X	Arizona	Mesa	ME01	ME01	2021-10-11	2021-10-12	2021-10-12	21-10	Batch4		29.289	1165.68	97.2277	284591			944.306	94.2882	231995
B316	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2022-02-23	2022-02-24	2022-03-10		Batch8		31.608						886.593	94.228	221757
B152	29X	Kentucky	Louisville	Lousville	Site 1884	2021-11-08	2021-11-09	2021-11-10	21-11	Batch3		33.253	556.03	98.241	131169			472.255	94.1946	118714
2993	14X	Arizona	Tempe	TP05	TP05	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		29.716	1284.44	98.2544	306500			1163.16	94.121	280931
2717	33X	Arizona	Tempe	TP06	Spence/TP06	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		28.896	2398.51	98.9934	589746			2111.57	94.1076	547334
G400	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-12-13	2021-12-14	2021-12-14		Batch6		29.88						567.596	94.0675	140832
3346	15X	Arizona	Tempe	Rural	Rural	2022-01-31	2022-02-01	2022-02-01		Batch7		28.707						568.089	93.9839	138970
B278	2X	Washington	Des Moines	DesMoines	Midway Sewer District	2022-01-31	2022-02-01	2022-02-02		Batch7		28.933						602.176	93.9571	148402
B158	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-11-08	2021-11-09	2021-11-10		Batch5		32.572	650.941	97.7494	156933			527.783	93.8969	140391
B323	36X	Texas	Houston	West District	West District	2022-03-14	2021-03-15	2022-03-16		Batch8		34.027						731.873	93.8836	180242
B176	30X	Kentucky	Louisville	Louisville	Site 1917	2021-11-21	2021-11-22	2021-11-23		Batch5		32.435	1637.11	99.6756	390085			1366.92	93.8468	330978
2374	19X	Arizona	Mesa	ME01	ME01	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		30.863	5902.26	99.5452	1393385			4868.21	93.8434	1139425
B132	31X	Kentucky	Louisville	Louisville	Site 1866	2021-10-24	2021-10-25	2021-10-26	21-10	Batch3		31.939	437.341	97.9266	103458			378.92	93.7899	98105
B306	35X	Washington	Sequim	Sequim Water Reclamation Facility	City of Sequim WRF	2022-02-28	2022-03-01	2022-03-02		Batch8		34.175						2534.94	93.7699	634944
BD14	6X	Washington	Walla Walla	WallaWalla	City of Walla Walla	2022-01-01	2022-01-02	2022-01-03		Batch7		29.98						1935.28	93.7632	456766
B174	28X	Kentucky	Louisville	Lousville	Site 1915	2021-11-21	2021-11-22	2021-11-23		Batch5		31.25	1429.95	99.3746	344643			1217.15	93.6294	315082
2375	20X	Arizona	Mesa	ME02	ME02	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		32.562	2399.02	99.3011	567242			2034.77	93.6227	489493
2659	33X	Arizona	Tempe	TP06	Spence/TP06	2021-09-17	2021-09-18	2021-09-18	21-09	Batch3		28.862	536.879	98.4316	126157			483.205	93.6127	113445
3423	14X	Arizona	Tempe	TP05	TP05	2022-02-14	2022-02-15	2022-02-15		Batch8		32						411.157	93.6127	100191
B233	37X	Texas	Houston	69th Street	69th Street	2022-01-03	2022-01-04	2022-01-05		Batch6		30.329						933.978	93.5859	224446
B8	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSAAdamsSt.Hoboken	2021-07-21	2021-07-22	2021-07-23	21-07	Batch1		35.096	1344.3	98.8262	318118			1254.69	93.5692	318713
3419	10X	Arizona	Tempe	TP01	TP01	2022-02-14	2022-02-15	2022-02-15		Batch8		32.239						362.878	93.5224	86904
B32	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-08-16	2021-08-17	2021-08-18	21-08	Batch2		30.227	225.678	98.6189	53953			202.147	93.4388	48652
2920	33X	Arizona	Tempe	TP06	Spence/TP06	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		30.228	1736.04	99.5987	415559			1499.63	93.3886	365217
B77	6X	Washington	Walla Walla	WallaWalla	WWTP	2021-09-13	2021-09-14	2021-09-16	21-09	Batch4		31.208	2160.85	99.3312	517555			1846.55	93.3017	445404
B73	2X	Washington	Des Moines	DesMoines	MidwaySewerDistrict	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		29.443	1390.13	98.6423	342275			1178.7	93.2749	291421
G387	22X	Arizona	Gilbert	Gilbert Greenfiled	Greenfield MS	2021-10-11	2021-10-12	2021-10-12	21-10	Batch4		32.164	1693.96	98.0972	412933			1385.8	93.2582	343769
B231	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-01-03	2022-01-04	2022-01-05		Batch6		29.729						655.98	93.2448	154359
B86	28X	Kentucky	Louisville	Lousville	Site 1755/DRGWQTC INF	2021-09-26	2021-09-27	2021-09-28	21-09	Batch3		31.204	425.34	99.0436	100186			328.015	93.2181	81834
B61	28X	Kentucky	Louisville	Lousville	Site 1691/DRGWQTC INF	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		30.009	1900.88	99.2208	451625			1607.89	93.1779	381832
B163	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-11-08	2021-11-09	2021-11-10		Batch5		31.462	1632.7	97.7996	396188			1383.95	93.1713	351643
2658	16X	Arizona	Tempe	College	College	2021-09-17	2021-09-18	2021-09-18	21-09	Batch3		29.939	354.294	94.3885	83056			324.134	93.0977	81483
B66	5X	Washington	DesMoines	Redondo	Redondo WWTP	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		30.925	921.382	96.3448	222102			878.74	93.0743	221810
B87	29X	Kentucky	Louisville	Lousville	Site 1756/MH57350 Preston & South Park	2021-09-26	2021-09-27	2021-09-28	21-09	Batch3		32.091	580.575	99.2442	138106			486.575	93.0542	129093
B106	27X	Kentucky	Louisville	Lousville	Site 1818	2021-10-10	2021-10-11	2021-10-12	21-10	Batch4		30.943	764.702	97.1608	187182			711.018	92.9673	175406
B160	2X	Washington	Des Moines	DesMoines	MidwaySewerDistrict	2021-11-08	2021-11-09	2021-11-10		Batch5		31.13	1056.36	99.4883	251785			932.444	92.9505	224492
3430	19X	Arizona	Mesa	ME01	ME01	2022-02-14	2022-02-15	2022-02-15	22-02	Batch8		30.16						1298.67	92.8669	306083
B122	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-10-13	2021-10-13	2021-10-15	21-10	Batch4		29.96	1444.54	98.5152	355391			1312.01	92.8034	324797
B59	26X	Kentucky	Louisville	Lousville	Site 1689/MH32985 Wood Road & Terry Road	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		30.454	886.536	98.7025	212586			694.58	92.77	166872
BD9	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2021-12-27	2021-12-28	2022-01-03		Batch7		29.905						1415.88	92.5593	356172
B311	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-02-28	2022-03-01	2022-03-02		Batch8		33.136						858.302	92.479	218327
B110	31X	Kentucky	Louisville	Louisville	Site 1830	2021-10-10	2021-10-11	2021-10-12	21-10	Batch4		32.515	1193.26	98.3781	287133			1043.58	92.4389	256820
BD8	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSA Adams St. Hoboken	2022-01-02	2021-01-03	2021-01-04		Batch7		27.892						3446.23	92.362	807290
BD18	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-01-03	2021-01-04	2021-01-05		Batch7		29.805						3064.08	92.3553	731377
B238	6X	Washington	Walla Walla	WallaWalla	City of Walla Walla	2022-01-03	2022-01-04	2022-01-05		Batch6		29.641						1709.39	92.3185	406918
B4	4X	New Mexico	Farmington	Farmington	FarmingtonWWTP	2021-07-19	2021-07-19	2021-07-21	21-07	Batch1		34.598	3512.89	95.054	834178			3439.18	92.2951	829989
2994	15X	Arizona	Tempe	Rural	Rural	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		29.656	2973.33	99.5987	701775			2351.26	92.2349	551091
3498	13X	Arizona	Tempe	TP04	TP04	2022-02-28	2022-03-01	2022-03-01		Batch8		34.242						561.285	92.1981	133005
BD4	2X	Washington	Des Moines	DesMoines	Midway Sewer District	2022-01-02	2022-01-02	2022-01-03		Batch7		26.724						1573.96	92.158	375009
3001	20X	Arizona	Mesa	ME02	ME02	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		31.483	737.576	96.813	177006			594.469	92.1479	154075
B288	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-02-14	2022-02-15	2022-02-16		Batch7		29.098						523.152	92.1279	125156
B105	26X	Kentucky	Louisville	Lousville	Site 1817	2021-10-10	2021-10-11	2021-10-12	21-10	Batch4		30.948	505.545	96.9301	123813			450.407	92.071	113085
B187	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-11-22	2021-11-23	2021-11-24		Batch5		34.466	1070.8	94.3584	257694			979.585	92.0309	266034
B20	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-08-09	2021-08-10	2021-08-11	21-08	Batch2		31.626	175.916	98.4717	42542			156.852	91.9373	38749
B230	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-01-03	2022-01-04	2022-01-05		Batch6		28.513						1462.97	91.9072	370428
B135	6X	Washington	Walla Walla	WallaWalla	WWTP	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		30.529	445.936	97.5086	105706			369.781	91.8771	90187
3645	10X	Arizona	Tempe	TP01	TP01	2022-03-28	2022-03-29	2022-03-29		Batch8		33.536						537.643	91.8135	135298
B69	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		30.903	1225.96	98.4684	298344			1080.08	91.7801	267888
B31	1X	Georgia	Americus	Americus	MillcreekWaterPollutionControlFacility	2021-08-16	2021-08-17	2021-08-18	21-08	Batch2		31.666	170.428	97.5454	41213			153.642	91.7466	39378
G414	22X	Arizona	Gilbert	Gilbert Greenfiled	Greenfield MS	2022-02-15	2022-02-16	2022-02-17		Batch7		31.176						460.001	91.5527	115032
B165	34X	Washington	Sequim	Sequim	Sunland Water District	2021-11-06	2021-11-07	2021-11-10		Batch5		36.215	2913.94	95.3483	707634			2535.65	91.5427	620192
B223	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-12-20	2021-12-21	2021-12-22		Batch6		29.953						1242.09	91.4356	293396
B19	3X	Oregon	Dallas	Dallas	Dallas,ORWaterReclamationFacility	2021-08-02	2021-08-03	2021-08-05	21-08	Batch2		29.859	209.887	98.4717	50513			183.609	91.3554	44559
3426	33X	Arizona	Tempe	TP06	Spence/TP06	2022-02-14	2022-02-15	2022-02-15		Batch8		32.335						602.758	91.3387	146240
2917	14X	Arizona	Tempe	TP05	TP05	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		30.279	1390.9	95.8934	337556			1169.45	91.2584	285781
G379	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-08-25	2021-08-26	2021-08-26	21-08	Batch3		30.498	320.838	95.3249	76514			294.077	91.2116	73553
B64	31X	Kentucky	Louisville	Louisville	Site 1702/MH23290 W. Indian Trail	2021-09-12	2021-09-13	2021-09-14	21-09	Batch4		31.19	528.196	95.5958	127976			437.493	91.128	110077
2371	16X	Arizona	Tempe	College	College	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		32.84	990.809	92.4857	241747			999.936	91.0945	257016
BD2	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-01-02	2022-01-02	2022-01-03		Batch7		30.515						1061.12	91.0678	252432
B23	28X	Kentucky	Louisville	Lousville	Site 1595/DRGWQTC INF	2021-08-08	2021-08-09	2021-08-11	21-08	Batch2		32.523	130.354	97.8932	31098			112.895	90.9808	27389
B97	6X	Washington	Walla Walla	WallaWalla	WWTP	2021-09-27	2021-09-28	2021-09-29	21-09	Batch3		29.708	235.98	94.1444	56664			226.026	90.9741	70301
B30	5X	Washington	DesMoines	Redondo	RedondoWWTP	2021-08-16	2021-08-17	2021-08-18	21-08	Batch2		32.116	98.8503	97.2344	23505			87.5733	90.9541	21095
G362	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-07-26	2021-07-27	2021-07-27	21-07	Batch4		31.741	420.589	96.7662	100385			362.426	90.9474	89819
B133	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		30.47	509.909	95.6693	121298			428.381	90.9006	122140
B96	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-09-27	2021-09-28	2021-09-29	21-09	Batch3		29.574	233.49	94.3986	55922			202.684	90.8905	58145
B119	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSAAdamsSt.Hoboken	2021-10-11	2021-10-12	2021-10-13	21-10	Batch4		31.896	1419.48	96.6258	351359			1232.79	90.8705	308563
B287	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2022-02-14	2022-02-15	2022-02-16		Batch7		29.516						238.222	90.8337	57163
B75	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-09-14	2021-09-15	2021-09-16	21-09	Batch4		31.32	593.474	94.6326	143842			527.6	90.7434	134826
B286	6X	Washington	Walla Walla	WallaWalla	City of Walla Walla	2022-02-14	2022-02-15	2022-02-16		Batch7		29.292						826.699	90.7133	199448
B21	26X	Kentucky	Louisville	Lousville	Site 1593/MH32985 Wood Road & Terry Road	2021-08-08	2021-08-09	2021-08-11	21-08	Batch2		30.404	226.916	98.9265	54494			181.876	90.613	44500
B235	38X	Texas	Houston	Keegan's Bayou	Keegan's Bayou	2022-01-03	2022-01-04	2022-01-05		Batch6		28.421						598.816	90.5361	145677
2916	13X	Arizona	Tempe	TP04	TP04	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		31.71	570.108	96.0907	138554			461.242	90.2117	116180
3428	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2022-02-14	2022-02-15	2022-02-15	22-02	Batch8		32.891						235.359	90.1415	60016
B56	34X	Washington	Sequim	Sequim	Sunland Water District	2021-08-30	2021-08-31	2021-09-01	21-08	Batch3		29.136	635.424	90.4023	151226			613.567	90.088	150750
B82	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-09-27	2021-09-28	2021-09-28	21-09	Batch3		29.227	487.598	92.79	114765			422.124	89.9776	105392
BD1	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-12-30	2021-12-30	2022-01-03		Batch7		29.619						828.153	89.894	205329
B89	31X	Kentucky	Louisville	Louisville	Site 1766/MH23290 W. Indian Trail	2021-09-26	2021-09-27	2021-09-28	21-09	Batch3		30.573	205.274	96.6157	48454			170.494	89.8773	44843
BD6	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-01-02	2021-01-03	2021-01-04		Batch7		28.708						783.574	89.7636	187310
B13	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-08-02	2021-08-03	2021-08-04	21-08	Batch2		32.321	100.825	94.2748	23875			90.2708	89.68	21954
2490	12X	Arizona	Tempe	TP03	TP03	2021-08-16	2021-08-17	2021-08-17	21-08	Batch2		31.54	1086.96	99.4114	257377			885.875	89.68	216074
B148	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-11-02	2021-11-03	2021-11-04	21-11	Batch3		31.235	325.595	95.8867	78014			249.328	89.5395	72406
B159	5X	Washington	DesMoines	Redondo	Redondo WWTP	2021-11-08	2021-11-09	2021-11-10		Batch5		31.332	381.933	93.5759	91872			349.701	89.5161	87456
3125	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-12-21	2021-12-21	2021-12-21		Batch6		28.671						785.585	89.5061	198354
BD3	2X	Washington	Des Moines	DesMoines	Midway Sewer District	2021-12-30	2021-12-30	2022-01-03		Batch7		25.54						425.265	89.2051	105554
3502	33X	Arizona	Tempe	TP06	Spence/TP06	2022-02-28	2022-03-01	2022-03-01		Batch8		34.576						771.599	89.1917	202823
G378	22X	Arizona	Gilbert	Gilbert Greenfiled	Greenfield MS	2021-08-11	2021-08-12	2021-08-12	21-08	Batch2		29.538	121.384	97.2745	29229			102.232	88.9041	25561
B305	6X	Washington	Walla Walla	WallaWalla	City of Walla Walla	2022-02-28	2022-03-01	2022-03-02		Batch8		32.586						3008.88	88.864	728136
B143	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		29.145	924.471	95.9402	221018			673.292	88.543	165790
B118	2X	Washington	Des Moines	DesMoines	MidwaySewerDistrict	2021-10-11	2021-10-12	2021-10-13	21-10	Batch4		29.962	1094.85	94.1678	267567			831.92	88.5329	205751
B104	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-10-10	2021-10-11	2021-10-12	21-10	Batch4		30.979	1418.29	91.4022	343853			1206.43	88.349	304825
B128	27X	Kentucky	Louisville	Lousville	Site 1850	2021-10-25	2021-10-26	2021-10-26	21-10	Batch4		31.242	489.133	95.6125	119793			403.411	88.3356	100116
B127	26X	Kentucky	Louisville	Lousville	Site 1849	2021-10-25	2021-10-26	2021-10-26	21-10	Batch4		30.153	714.175	95.9502	175255			568.825	88.2955	141045
3284	33X	Arizona	Tempe	TP06	Spence/TP06	2022-01-19	2022-01-20	2022-01-20		Batch7		27.373						1029.09	88.2654	249409
2838	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-10-22	2021-10-23	2021-10-23	21-10	Batch4		30.774	547.722	91.847	135114			469.727	88.2554	133589
B49	2X	Washington	Des Moines	DesMoines	MidwaySewerDistrict	2021-08-30	2021-08-31	2021-09-01	21-08	Batch4		30.078	1688.35	95.7529	415931			1324.42	88.2052	330760
B150	27X	Kentucky	Louisville	Lousville	Site 1882	2021-11-08	2021-11-09	2021-11-10	21-11	Batch3		30.651	467.196	92.4422	110871			425.726	88.1718	152686
B113	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2021-10-11	2021-10-12	2021-10-13	21-10	Batch4		29.404	635.683	94.8366	158864			575.347	88.0714	145750
B88	30X	Kentucky	Louisville	Louisville	Site 1757/MH57769 Pineland Drive & Oakmont Dr.	2021-09-26	2021-09-27	2021-09-28	21-09	Batch3		30.641	244.344	92.9071	57991			203.905	87.64	60862
B313	36X	Texas	Houston	West District	West District	2022-02-28	2022-03-01	2022-03-02		Batch8		32.963						396.177	87.533	108117
B146	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		32.596	176.662	90.0478	41966			166.57	87.2086	48630
G392	21X	Arizona	Gilbert	Gilbert Neely	Neely WWTP	2021-11-01	2021-11-02	2021-11-02	21-11	Batch3		29.247	263.792	97.0137	62754			201.736	87.1585	51091
2913	10X	Arizona	Tempe	TP01	TP01	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		30.169	736.554	93.101	176836			545.613	87.1351	136538
B285	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-02-13	2022-02-14	2022-02-16		Batch7		29.52						610.529	86.9445	145945
B10	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSAAdamsSt.Hoboken	2021-07-29	2021-07-30	2021-08-02	21-08	Batch2		31.244	63.4331	93.2448	14908			54.7428	86.6067	13122
B307	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-02-28	2022-03-01	2022-03-02		Batch8		33.85						397.034	86.3759	98455
3420	11X	Arizona	Tempe	TP02	TP02	2022-02-14	2022-02-15	2022-02-15		Batch8		33.403						281.344	86.2054	69136
B320	5X	Washington	Des Moines	Redondo	Redondo	2022-03-14	2021-03-15	2022-03-16		Batch8		33.503						232.02	86.1552	61732
B265	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSA Adams St. Hoboken	2022-01-17	2022-01-18	2022-01-19		Batch7		29.329						348.075	85.7406	83907
B198	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-12-06	2021-12-07	2021-12-08		Batch5		29.768	374.649	94.4922	89894			297.832	85.5098	72239
B302	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-02-28	2022-03-01	2022-03-01		Batch8		32.926						905.635	85.376	223840
B72	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		29.449	419.292	93.6093	105155			346.878	85.3694	89138
2914	11X	Arizona	Tempe	TP02	TP02	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		29.673	490.68	89.3121	118481			373.858	85.346	99438
2415	13X	Arizona	Tempe	TP04	TP04	2021-08-02	2021-08-03	2021-08-03	21-08	Batch2		32.687	49.8295	90.8872	11839			46.0189	85.3192	11260
3500	15X	Arizona	Tempe	Rural	Rural	2022-02-28	2022-03-01	2022-03-01		Batch8		33.195						424.83	84.938	100372
3422	13X	Arizona	Tempe	TP04	TP04	2022-02-14	2022-02-15	2022-02-15		Batch8		32.466						255.8	84.9279	63158
B129	28X	Kentucky	Louisville	Lousville	Site 1851	2021-10-25	2021-10-26	2021-10-26	21-10	Batch4		31.716	627.819	96.084	152626			483.071	84.8577	118928
2833	14X	Arizona	Tempe	TP05	TP05	2021-10-22	2021-10-23	2021-10-23	21-10	Batch4		30.061	977.829	86.7706	238828			889.227	84.8376	253757
B109	30X	Kentucky	Louisville	Louisville	Site 1821	2021-10-10	2021-10-11	2021-10-12	21-10	Batch4		32.393	326.931	91.3922	79282			286.548	84.7875	70239
3119	13X	Arizona	Tempe	TP04	TP04	2021-12-21	2021-12-21	2021-12-21		Batch6		31.581						383.76	84.6403	91027
3048	24X	Arizona	Tempe	TP07	Downtown/TP07	2021-12-06	2021-12-07	2021-12-07	21-12	Batch5		30.62	392.216	91.7968	95497			331.346	84.3661	81691
3040	10X	Arizona	Tempe	TP01	TP01	2021-12-06	2021-12-07	2021-12-07	21-12	Batch5		30.843	394.547	92.693	95814			319.15	84.3594	78129
2571	33X	Arizona	Tempe	TP06	Spence/TP06	2021-08-30	2021-08-31	2021-08-31	21-08	Batch3		29.728	278.888	86.9445	65453			263.415	84.3059	63402
3047	33X	Arizona	Tempe	TP06	Spence/TP06	2021-12-06	2021-12-07	2021-12-07	21-12	Batch5		31.207	430.837	92.6027	105526			373.412	84.2925	92445
B296	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-02-14	2022-02-15	2022-02-16		Batch7		30.226						311.518	84.2491	74325
B207	34X	Washington	Sequim	Sequim	Sunland Water District	2021-12-06	2021-12-07	2021-12-08		Batch5		Undetermined	334.209	91.0477	82044			301.597	84.1788	74839
B216	2X	Washington	Des Moines	DesMoines	Midway Sewer District	2021-12-21	2021-12-20	2021-12-21		Batch6		29.113						203.916	84.0451	50415
3507	20X	Arizona	Mesa	ME02	ME02	2022-02-28	2022-03-01	2022-03-01		Batch8		34.284						430.481	83.9514	104230
B347	23X	Oregon	Ontario	Ontario	Ontario City Inf	2022-03-28	2022-03-29	2022-03-30		Batch8		34.911						296.536	83.8779	78925
2769	11X	Arizona	Tempe	TP02	TP02	2021-10-11	2021-10-12	2021-10-12	21-10	Batch4		30.724	866.193	87.3056	219560			820.878	83.8645	209140
B76	35X	Washington	Sequim	Sequim Water Reclamation Facility	Sequim Water Reclamation Facility (NEW Sequim)	2021-09-13	2021-09-14	2021-09-16	21-09	Batch4		31.872	486.909	91.6798	117168			395.986	83.8277	96171
2635	19X	Arizona	Mesa	ME01	ME01	2021-09-13	2021-09-14	2021-09-14	21-09	Batch4		30.773	675.048	92.5292	166574			535.701	83.7909	137524
2829	10X	Arizona	Tempe	TP01	TP01	2021-10-22	2021-10-23	2021-10-23	21-10	Batch4		30.429	210.267	88.0012	51917			175.553	83.6739	44477
3342	11X	Arizona	Tempe	TP02	TP02	2022-01-31	2022-02-01	2022-02-01		Batch7		29.315						704.896	83.4264	176363
B199	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2021-12-06	2021-12-07	2021-12-08		Batch5		30.135	224.138	92.2851	53609			176.355	83.306	42541
G401	22X	Arizona	Gilbert	Gilbert Greenfiled	Greenfield MS	2021-12-13	2021-12-14	2021-12-14		Batch6		30.147						365.242	83.0887	93610
2768	10X	Arizona	Tempe	TP01	TP01	2021-10-11	2021-10-12	2021-10-12	21-10	Batch4		32.249	296.811	87.2822	73024			283.178	82.7509	70859
B274	37X	Texas	Houston	69th Street	69th Street	2022-01-31	2022-02-01	2022-02-02		Batch7		31.888						129.869	82.6272	33982
2413	11X	Arizona	Tempe	TP02	TP02	2021-08-02	2021-08-03	2021-08-03	21-08	Batch2		30.007	74.0287	92.8134	17744			58.5538	82.5335	14341
B95	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-09-27	2021-09-28	2021-09-29	21-09	Batch3		30.473	150.128	85.7773	35942			136.957	82.4901	46949
3120	14X	Arizona	Tempe	TP05	TP05	2021-12-21	2021-12-21	2021-12-21		Batch6		29.296						248.19	82.2961	66775
3051	39X	Arizona	Tempe	Daley Park	Daley Park	2021-12-06	2021-12-07	2021-12-07	21-12	Batch5		29.416	231.607	90.1883	55190			178.842	82.2091	42911
B197	3X	Oregon	Dallas	Dallas	City of Dallas WRF	2021-12-06	2021-12-07	2021-12-08		Batch5		29.619	392.14	91.1581	93935			310.173	82.1556	75486
B83	22X	Arizona	Gilbert	Gilbert Greenfiled	Greenfield MS	2021-09-27	2021-09-28	2021-09-28	21-09	Batch3		29.69	415.189	84.122	97645			372.503	82.0219	92383
